iter	Logloss
0	0.6626741762
1	0.6363956947
2	0.6145946196
3	0.5937782286
4	0.5779030047
5	0.5613373429
6	0.548504687
7	0.5357131843
8	0.523720235
9	0.5141514258
10	0.5048366353
11	0.4971606777
12	0.4907674316
13	0.4850748286
14	0.4789107187
15	0.4742208499
16	0.4685350199
17	0.4642297699
18	0.4598227184
19	0.456387648
20	0.4534749937
21	0.450312075
22	0.4476728947
23	0.4460232393
24	0.4443552301
25	0.4427791673
26	0.4409283141
27	0.4392953961
28	0.4378190629
29	0.4358578716
30	0.4339326757
31	0.4326247023
32	0.4309800549
33	0.4298228611
34	0.4289965196
35	0.427929047
36	0.4271399572
37	0.4262627453
38	0.4254954773
39	0.4248291637
40	0.4240905073
41	0.4233009653
42	0.4224013693
43	0.4219280483
44	0.4212354655
45	0.4205365819
46	0.4199772439
47	0.4193960168
48	0.4188530521
49	0.4182431612
50	0.4178068751
51	0.4173545739
52	0.416846583
53	0.4164400217
54	0.4160328776
55	0.4155843743
56	0.4151993034
57	0.4149138377
58	0.4145197993
59	0.4141128399
60	0.4136406367
61	0.4132458448
62	0.4127763441
63	0.4124751609
64	0.4120130966
65	0.4116543608
66	0.4113504249
67	0.4109629411
68	0.4106020303
69	0.4103358386
70	0.4100158963
71	0.4097079142
72	0.4094019374
73	0.4089954319
74	0.4087534994
75	0.4085074957
76	0.4082150052
77	0.4080313418
78	0.407822879
79	0.4075573993
80	0.407261221
81	0.4071188755
82	0.4070001698
83	0.4068163172
84	0.4066456609
85	0.4064163894
86	0.4061689697
87	0.4060081781
88	0.4058434869
89	0.405655682
90	0.4054469579
91	0.405258154
92	0.4050732315
93	0.4048276934
94	0.4047056165
95	0.4045539274
96	0.4043564479
97	0.4042333981
98	0.4041326013
99	0.4039948338
100	0.403896624
101	0.4037569056
102	0.403678964
103	0.4035357084
104	0.4034003405
105	0.4032771762
106	0.4031125562
107	0.4029289578
108	0.4028398822
109	0.4027120092
110	0.4026034327
111	0.4025129681
112	0.4023537087
113	0.4022450335
114	0.4021746687
115	0.4020486593
116	0.4019359555
117	0.4017854886
118	0.401722217
119	0.4016675645
120	0.401572113
121	0.4014337236
122	0.4013416596
123	0.4012523197
124	0.4011562868
125	0.4010407887
126	0.400956727
127	0.4008934282
128	0.4008067155
129	0.4006831806
130	0.4005507559
131	0.400445273
132	0.4003448963
133	0.4002643345
134	0.4001926694
135	0.4000157122
136	0.3999212781
137	0.3998044474
138	0.3997499206
139	0.3996539781
140	0.3995850156
141	0.3994382387
142	0.3993956752
143	0.3992918815
144	0.3991771797
145	0.3990937689
146	0.3990268489
147	0.3989308156
148	0.398817914
149	0.3987216993
150	0.3986356402
151	0.3985149238
152	0.3984751188
153	0.3983886906
154	0.3983262548
155	0.3982215188
156	0.3981621593
157	0.3980850424
158	0.3979886664
159	0.3978891465
160	0.3977894297
161	0.3977407878
162	0.3976337363
163	0.3975432717
164	0.3974959762
165	0.3974504495
166	0.3974157154
167	0.3972869427
168	0.3971997551
169	0.3971532506
170	0.3970720607
171	0.397013166
172	0.3969020509
173	0.3967355758
174	0.3966906017
175	0.396624975
176	0.3965155736
177	0.3963987864
178	0.3962504193
179	0.396127919
180	0.3960170583
181	0.3959105131
182	0.3958134986
183	0.3957536015
184	0.3956171829
185	0.3954622314
186	0.3953692054
187	0.3952395214
188	0.3951683219
189	0.3950830989
190	0.3949524652
191	0.3946707376
192	0.3946045262
193	0.3945035672
194	0.3944213623
195	0.3942993202
196	0.3941994132
197	0.3940919203
198	0.3940190676
199	0.3939109327
